Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instruction,Description,Fat,No_serving,
Flaxseed Chutney Powder,260,4,8,"Bitter, Astringent, Salty","Flaxseeds, Red Chili Powder, Curry Leaves, Garlic, Mustard Seeds, Sunflower Oil, Salt",Total in 35 M,"Dry-roast flaxseeds and coarsely grind with red chili powder and salt; heat sunflower oil, splutter mustard seeds with curry leaves and sliced garlic; pour over and mix thoroughly.",Flaxseed is rich in omega-3s; supports retinal and Sweet Corneal health.,6,2,
Sesame Spinach Curry (Til-Palak),150,8,10,"Sweet, Bitter","Spinach Leaves, Sesame Seeds, Onion, Tomato, Garlic, Green Chili, Sunflower Oil, Salt",Total in 50 M,"Toast sesame seeds; heat sunflower oil, sauté garlic, onion, and green chili; add tomato and spinach to wilt; finish with toasted sesame and salt.","Spinach and sesame seeds provide lutein, vitamin E, and antioxidants; maintain healthy vision.",7,2,
Walnut Carrot Halwa,320,6,25,Sweet,"Carrot, Milk, Ghee, Sugar, Cardamom Powder, Walnut, Cashew Nuts, Raisins",Total in 15 M,"Sauté grated carrot in ghee; add milk and reduce until creamy; stir in sugar and cardamom; fold in toasted walnuts, cashews, and raisins.",Carrots and walnuts provide beta-carotene and omega-3s; protect retina from oxidative stress.,9,2,
Papaya Salad with Lemon,340,1,30,Sweet,"Papaya, Lemon Juice, Green Chili, Coriander Leaves",Total in 40 M,"Dice papaya; toss with finely chopped green chili, lemon juice, coriander leaves, and a pinch of salt.",Papaya and lemon are high in vitamin A and C; support macular health and reduce oxidative damage.,2,2,
Mango Dal (Mamidikaya Pappu),120,12,6,Sweet,"Mango, Toor Dal, Green Chili, Garlic, Turmeric Powder, Mustard Seeds, Sunflower Oil, Salt",Total in 50 M,"Cook toor dal with turmeric and salt; heat sunflower oil, splutter mustard seeds, sauté slit green chili and crushed garlic; add chopped mango to soften; combine with dal and simmer.",Mango provides beta-carotene; dal adds protein and zinc; supports retinal repair and function.,5,2,
Amla Pickle (in moderation),300,0,12,"Salty, Astringent","Amla, Mustard Seeds, Fenugreek Seeds, Red Chili Powder, Turmeric Powder, Mustard Oil, Salt",Total in 10 M,"Warm mustard oil and cool slightly; splutter mustard and fenugreek seeds; add amla pieces, turmeric, red chili powder, and salt; toss and rest to cure.",Amla is high in vitamin C; protects lens and retina from oxidative stress.,3,2,
Guava Chaat,50,1,8,"Bitter, Salty","Guava, Red Chili Powder, Lemon Juice",Total in 15 M,"Slice guava; sprinkle red chili powder, salt, and lemon juice; toss and serve.",Guava is rich in vitamin C and antioxidants; reduces oxidative stress in eyes.,4,2,
Pomegranate Raita,140,4,15,"Bitter, Salty","Pomegranate, Curd, Roasted Cumin Powder",Total in 10 M,Whisk curd with roasted cumin powder and salt; fold in pomegranate arils; chill and serve.,Pomegranate provides antioxidants and vitamin C; supports retinal and macular health.,1,2,
Banana Stem Curry,140,2,10,"Bitter, Astringent","Banana Stem, Onion, Tomato, Garlic, Green Chili, Curry Leaves, Mustard Seeds, Coconut Oil, Salt",Total in 25 M,"Heat coconut oil, splutter mustard seeds with curry leaves; sauté garlic, onion, and green chili; add banana stem and tomato; cook until tender and season with salt.",Banana stem is high in vitamin A; supports retinal function and reduces dryness.,2,2,
Jackfruit Seed Curry,160,8,4,"Sweet, Astringent","Jackfruit Seeds, Onion, Tomato, Garlic, Green Chili, Curry Leaves, Mustard Seeds, Mustard Oil, Salt",Total in 30 M,"Pressure-cook jackfruit seeds; heat mustard oil, splutter mustard seeds with curry leaves and green chili; sauté garlic and onion; add tomato; stir in seeds and salt; simmer to coat.",Jackfruit seeds and pulp contain vitamin A and antioxidants; supports macular and retinal health.,2,1,
Watermelon Mint Juice,200,1,6,"Sweet, Salty","Watermelon, Mint Leaves, Lemon Juice",Total in 25 M,Blend deseeded watermelon with mint; add lemon juice and a pinch of salt; serve chilled.,"Watermelon with mint provides hydration, vitamin A, and antioxidants; maintains eye moisture.",3,1,
Musk Melon Salad,120,1,2,"Sweet, Salty","Musk Melon, Cucumber, Lemon Juice",Total in 25 M,Cube musk melon and cucumber; toss with lemon juice and a pinch of salt; chill.,Musk melon is high in vitamin A and water content; supports retinal health and reduces dryness.,5,1,
Custard Apple Milkshake (low sugar),110,4,4,"Salty, Bitter","Custard Apple, Milk",Total in 30 M,Scoop custard apple pulp; blend with chilled milk and a touch of sugar if desired; strain any seeds.,Custard apple provides vitamin A and antioxidants; supports retinal cells and overall eye health.,4,1,
Tomato Rasam,220,1,6,"Bitter, Sweet","Tomato, Tamarind Pulp, Garlic, Curry Leaves, Mustard Seeds, Black Pepper, Sunflower Oil, Salt",Total in 30 M,"Coarsely crush black pepper and garlic; heat sunflower oil, splutter mustard seeds with curry leaves; sauté tomato; add tamarind water and salt; add pepper-garlic and simmer gently.",Tomatoes are high in lycopene and vitamin A; rasam supports retinal protection.,2,1,
Drumstick Rasam,80,2,12,"Bitter, Sweet","Drumstick, Tamarind Pulp, Garlic, Curry Leaves, Mustard Seeds, Sunflower Oil, Salt",Total in 30 M,"Boil drumstick pieces until tender; heat sunflower oil, splutter mustard seeds with curry leaves; sauté crushed garlic; add tamarind water and salt; add drumstick and simmer.",Drumstick is rich in vitamin A and antioxidants; rasam promotes eye tissue health.,3,1,
Pepper Rasam,90,1,15,"Salty, Bitter","Black Pepper, Tamarind Pulp, Garlic, Curry Leaves, Mustard Seeds, Sunflower Oil, Salt",Total in 25 M,"Coarsely crush black pepper and garlic; heat sunflower oil, splutter mustard seeds with curry leaves; add tamarind water and salt; simmer briefly, then stir in pepper-garlic and turn off heat.","Black pepper and Turmeric Powder, Red Chili Powder ,Coriander Powder ,Cumin Powder, Garam Masala in rasam improve circulation to retina and provide antioxidants.",2,1,
Palak Soup,80,2,18,"Salty, Bitter","Spinach Leaves, Onion, Garlic, Ginger, Black Pepper, Sunflower Oil, Salt",Total in 35 M,"Heat sunflower oil, sauté onion, garlic, and ginger; add spinach and water to cover; simmer and lightly blend if desired; finish with crushed black pepper and salt.","Spinach soup provides lutein, zeaxanthin, and vitamin A; supports macular health.",2,2,
Carrot-Ginger Soup,110,1,20,"Bitter, Salty","Carrot, Ginger, Onion, Garlic, Black Pepper, Sunflower Oil, Salt",Total in 15 M,"Heat sunflower oil, sauté onion, garlic, and ginger; add carrot and water; simmer until soft; blend smooth; finish with black pepper and salt.",Carrot and ginger soup provides beta-carotene and antioxidants; supports retinal function.,3,2,
Beetroot Rasam,120,10,12,"Bitter, Sweet","Beetroot, Tamarind Pulp, Curry Leaves, Mustard Seeds, Black Pepper, Sunflower Oil, Salt",Total in 50 M,"Heat sunflower oil, splutter mustard seeds with curry leaves; sauté beetroot; add tamarind water and salt; cover until tender; finish with crushed black pepper.",Beetroot rasam provides antioxidants and vitamin A; protects eye tissues.,4,2,
Pumpkin Rasam,90,0,6,"Bitter, Sweet","Pumpkin, Tamarind Pulp, Curry Leaves, Mustard Seeds, Black Pepper, Sunflower Oil, Salt",Total in 45 M,"Heat sunflower oil, splutter mustard seeds with curry leaves; sauté pumpkin; add tamarind water and salt; cook till soft; finish with black pepper.",Pumpkin rasam provides beta-carotene and vitamin A; maintains retinal health.,5,2,
Garlic Rasam,90,22,4,"Bitter, Salty, Sweet","Garlic, Tamarind Pulp, Curry Leaves, Mustard Seeds, Black Pepper, Sunflower Oil, Salt",Total in 40 M,"Make a pepper-garlic rasam: heat sunflower oil, splutter mustard seeds with curry leaves; add tamarind water and salt; finish with crushed black pepper and crushed garlic; simmer briefly.",Garlic rasam has antioxidants and sulfur compounds; protects retinal cells from oxidative stress.,6,2,
Moong Dal Soup with Greens,80,20,10,"Bitter, Sweet, Salty","Moong Dal, Spinach Leaves, Garlic, Ginger, Green Chili, Black Pepper, Sunflower Oil, Salt",Total in 30 M,"Cook moong dal with salt until soft; heat sunflower oil, sauté garlic, ginger, and green chili; wilt spinach; combine with dal; season with crushed black pepper.","Moong dal soup with greens provides protein, lutein, and antioxidants; supports eye health.",4,2,
Turmeric-Ginger Herbal Soup,180,6,2,"Bitter, Sweet, Salty","Turmeric Root, Ginger, Garlic, Black Pepper, Sunflower Oil, Salt",Total in 60 M,"Sauté sliced turmeric root, ginger, and garlic in sunflower oil; add water for a light broth; simmer 8?10 minutes; season with black pepper and salt.",Turmeric and ginger provide curcumin and antioxidants; protects eyes from oxidative damage.,7,2,
Idiyappam with Fish Curry,80,8,6,"Salty, Astringent","Rice Flour,  Grated Coconut, Coconut Oil, Fish Pieces, Onion, Tomato, Green Chili, Curry Leaves, Tamarind Pulp, Ginger, Garlic, Turmeric Powder, Coriander Powder, Fenugreek Seeds, Mustard Seeds, Salt",Total in 40 M,"Heat coconut oil, splutter mustard and fenugreek seeds with curry leaves; sauté ginger, garlic, onion, and green chili; add tomato, turmeric, and coriander powder; add tamarind water and salt; whisk thin rice-flour slurry in; add fish and simmer gently till cooked.","Idiyappam with fish curry provides DHA, omega-3s, and protein; supports retina and lens.",5,3,
Kerala Fish Puttu,360,0,8,"Salty, Sweet","Rice Flour, Grated Coconut, Coconut Oil, Fish Pieces, Onion, Ginger, Green Chili, Turmeric Powder, Curry Leaves, Mustard Seeds, Salt",Total in 40 M,"Grind grated coconut with a little water and rice flour; heat coconut oil, splutter mustard seeds with curry leaves; sauté ginger, onion, and green chili; add turmeric and salt; add coconut paste with water; bring to gentle boil; add fish and simmer.",Kerala fish puttu is rich in DHA and vitamin A; promotes retinal function.,6,3,
Palak Poori,340,10,12,"Bitter, Astringent","Wheat Flour, Spinach Leaves, Green Chili, Garlic, Sunflower Oil, Salt",Total in 50 M,"Finely chop spinach, green chili, and garlic; knead into wheat flour with salt and water; rest; roll; cook parathas on a hot tawa with a little sunflower oil.","Palak pooris provide lutein, zeaxanthin, and beta-carotene; support macular health.",7,3,
Millet Upma with Greens,320,10,10,"Astringent, Bitter","Millet, Onion, Spinach Leaves, Green Chili, Ginger, Curry Leaves, Mustard Seeds, Sunflower Oil, Salt",Total in 40 M,"Cook millet; heat sunflower oil, splutter mustard seeds with curry leaves; sauté ginger, onion, and green chili; wilt spinach; fold in millet and salt.","Millet upma with greens supplies lutein, beta-carotene, and minerals; supports retinal cells.",8,3,
Amla Murabba,260,18,8,"Bitter, Sweet","Amla, Sugar,Cloves",Total in 60 M,Simmer amla segments in sugar syrup with cloves until translucent and syrupy; cool and store.,Amla murabba is high in vitamin C; supports lens and retinal health.,9,3,
Drumstick Sambhar,200,8,2,"Bitter, Salty","Toor Dal, Drumstick, Onion, Tomato, Garlic, Tamarind Pulp, Curry Leaves, Mustard Seeds, Sunflower Oil, Salt",Total in 40 M,"Cook toor dal; boil drumstick until tender; heat sunflower oil, splutter mustard seeds with curry leaves; sauté garlic, onion, and tomato; add tamarind water and salt; add drumstick and dal; simmer.","Drumstick sambar provides vitamin A, beta-carotene, and antioxidants; supports macular function.",5,3,
Methi Khichdi,240,10,3,"Bitter, Astringent","Rice, Methi Leaves, Moong Dal, Onion, Tomato, Garlic, Ginger, Green Chili, Turmeric Powder, Ghee, Salt",Total in 40 M,"Cook rice and moong dal with turmeric and salt; heat ghee, sauté garlic, ginger, onion, and green chili; add tomato and methi leaves to wilt; mix into pot and simmer to khichdi.","Methi khichdi provides beta-carotene, protein, and zinc; supports eye tissues.",7,3,
Palak Paneer Stuffed Paratha,300,18,5,"Bitter, Salty","Wheat Flour, Spinach Leaves, Paneer, Onion, Garlic, Green Chili, Sunflower Oil, Salt",Total in 50 M,"Sauté crumbled paneer with finely chopped spinach, onion, garlic, green chili, and salt; cool; stuff into wheat dough, roll, and cook parathas with sunflower oil.","Palak paneer stuffed paratha is rich in lutein, zeaxanthin, and protein; promotes retinal health.",6,2,
Mixed Saag Pulao,420,8,3,"Bitter, Astringent","Rice, Leafy Greens, Onion, Garlic, Ginger, Green Chili, Cumin Seeds, Sunflower Oil, Salt",Total in 40 M,"Heat sunflower oil, crackle cumin seeds, sauté garlic, ginger, onion, and green chili; add chopped leafy greens; stir in rinsed rice with water and salt; cover and cook.","Mixed saag pulao provides multiple leafy greens with beta-carotene, lutein, and antioxidants; supports overall eye health.",8,2,
Curry Leaf Rice,320,6,8,"Bitter, Salty","Rice, Curry Leaves, Onion, Green Chili, Ginger, Garlic, Mustard Seeds, Coconut Oil, Salt",Total in 30 M,"Heat coconut oil, splutter mustard seeds with curry leaves; sauté ginger, garlic, onion, and green chili; toss in cooked rice and salt; stir-fry to coat evenly.",Curry leaves are rich in vitamin A and antioxidants; promotes retinal and macular health.,7,2,
Tandoori Pomfret,320,25,6,"Salty, Spicy","Pomfret, Yogurt, Lemon Juice, Ginger, Garlic, Red Chili Powder, Turmeric Powder, Garam Masala, Mustard Oil, Salt",Total in 50 M,"Whisk yogurt, lemon juice, ginger, garlic, red chili powder, turmeric, garam masala, mustard oil, and salt; coat pomfret, marinate 30?60 minutes, then grill or pan-sear on medium heat until just cooked through.",Pomfret provides omega-3 fatty acids and vitamin A; supports retinal function and reduces dry eyes.,8,1,
Dry Fish Curry (Karuvadu Kuzhambu),300,24,5,"Salty, Spicy","Dry Fish, Onion, Tomato, Garlic, Tamarind Pulp, Curry Leaves, Red Chili Powder, Turmeric Powder, Mustard Seeds, Groundnut Oil, Salt",Total in 45 M,"Rinse dry fish briefly; heat groundnut oil, splutter mustard seeds and curry leaves, sauté onion and garlic, add tomato, red chili powder, turmeric, tamarind pulp, salt, then add rinsed dry fish and simmer until softened and saucy.","Dry fish curry is rich in protein, omega-3s, and vitamin A; helps maintain retinal health.",9,1,
Fish Amritsari,350,25,12,"Salty, Spicy","Fish Fillet, Gram Flour, Yogurt, Ginger, Garlic, Carom Seeds, Cumin Seeds, Red Chili Powder, Mustard Oil, Salt",Total in 40 M,"Whisk gram flour, yogurt, ginger-garlic paste, carom and cumin seeds, red chili powder, mustard oil, and salt to a thick batter; coat fish fillets and shallow-fry on medium heat until crisp and cooked.","Fish Amritsari provides DHA, omega-3s, and vitamin A; supports macular health.",10,1,
Prawn Masala Curry,320,20,20,"Salty, Spicy","Prawn, Onion, Tomato, Ginger, Garlic, Green Chili, Turmeric Powder, Red Chili Powder, Curry Leaves, Coconut Oil, Salt",Total in 40 M,"Heat coconut oil, sauté onion, ginger, garlic, and green chili, add tomato, turmeric, red chili powder, and salt, then add prawns and curry leaves and cook just until prawns turn opaque.","Prawn masala curry is rich in zinc, omega-3s, and vitamin A; supports retinal function.",6,7,
Crab Roast Kerala Style,350,18,25,"Salty, Spicy","Crab, Onion, Tomato, Ginger, Garlic, Curry Leaves, Black Pepper, Red Chili Powder, Turmeric Powder, Coconut Oil, Salt",Total in 50 M,"Heat coconut oil, sauté onion, ginger, garlic, and curry leaves, add tomato, black pepper, red chili powder, turmeric, and salt, then add cleaned crab and simmer until coated and cooked.","Crab roast provides vitamin A, omega-3s, and antioxidants; promotes eye tissue health.",7,7,
Mutton Liver Curry (Iron-rich),250,22,18,"Salty, Bitter","Mutton Liver, Onion, Tomato, Ginger, Garlic, Green Chili, Black Pepper, Red Chili Powder, Turmeric Powder, Mustard Oil, Salt",Total in 50 M,"Heat mustard oil, sauté onion, ginger, garlic, and green chili with black pepper, red chili powder, turmeric, and salt, add mutton liver and toss on medium-high until just cooked, then finish with tomato briefly.",Mutton liver is high in vitamin A and iron; supports retina and night vision.,8,7,
