Food Name,Calories,Protein_g,Carbohydrates_g,taste,prep_time,Instructions,Description,Fat,Ingredients,No_serving
Vegetable Sevai,140,4,18,"Bitter, Astringent",15 M,Boil rice noodles. Sauté carrot and beans in coconut oil with curry leaves and mustard seeds. Toss the cooked noodles with the sautéed vegetables and serve warm.,"High in fiber and low-fat, supports healthy cholesterol.",4,"Rava Sevai, Carrot, Beans, Coconut Oil, Curry Leaves, Mustard Seeds",1
Lemon Sevai,130,4,22,"Bitter, Spicy",10 M,"Boil rice noodles. Mix with Lemon, sautéed curry leaves, and mustard seeds. Toss with vegetables and serve warm.","Low-fat and antioxidant-rich, aids heart health.",1.5,"Rava Sevai, Lemon, Curry Leaves, Mustard Seeds",1
Tamarind Sevai,150,3,20,"Bitter, Astringent",10 M,"Boil rice noodles. Prepare tamarind paste with coconut oil, curry leaves, and mustard seeds. Mix the noodles with the paste and serve warm.","Rich in polyphenols, helps reduce LDL cholesterol.",3,"Tamarind Paste, Rava Sevai, Curry Leaves, Mustard Seeds, Coconut Oil",1
Puli Upma,120,3.5,25,"Bitter, Astringent",15 M,"Roast puli rice lightly. Boil water, add jaggery and coconut milk, cook the rice until soft, and serve warm.","Tamarind provides antioxidants, fiber-rich, heart-friendly.",3,"Rava, Jaggery, Coconut Milk",1
Kambu Koozh,130,3,18,"Spicy, Bitter",15 M,"Soak pearl millet (kambu) and grind to a smooth paste. Mix with water to a thin consistency, add fenugreek seeds, curry leaves, and cumin seeds, boil until thickened, and serve warm.","Pearl millet-based, high fiber, helps reduce cholesterol.",3,"Pearl Millet Flour, Coconut Milk, Fenugreek Seeds, Curry Leaves, Cumin Seeds",2
Keerai Masiyal,140,3.5,20,"Bitter, Astringent",15 M,"Boil chopped spinach with water, salt, and mild spices until soft. Mash lightly, heat coconut oil, sauté curry leaves and mustard seeds, mix with the spinach, and serve warm.","Leafy greens provide fiber and antioxidants, lower LDL.",3,"Spinach, Coconut Oil, Curry Leaves, Mustard Seeds",2
Drumstick Leaves Poriyal,150,3,22,"Spicy, Astringent",15 M,"Boil drumstick leaves until tender. Heat coconut oil, sauté mustard seeds, curry leaves, and garlic, add the boiled leaves, cook briefly, and serve warm.","High in fiber, antioxidants, supports heart and cholesterol health.",1,"Drumstick Leaves, Coconut Oil, Curry Leaves, Mustard Seeds",2
Moringa Soup,120,2.5,25,"Spicy, Astringent",15 M,"Boil moringa leaves with carrot and beans in water with mild spices until soft. Mash lightly, simmer with coconut oil and curry leaves for 5 minutes, and serve hot.","Nutrient-dense, reduces bad cholesterol and supports heart.",2,"Moringa Leaves, Carrot, Beans, Coconut Oil, Curry Leaves",2
Thukpa (veg),130,3,12,"Astringent, Bitter",15 M,"Boil vegetables (carrot, beans, cabbage, oats, millet flour) with water until tender. Heat coconut oil, sauté garlic, ginger, and mild spices, mix with the boiled vegetables and noodles, and serve hot.","Light, vegetable-rich, supports healthy cholesterol.",2,"Carrot, Beans, Cabbage, Oats, Millet Flour, Coconut Oil",2
Vegetable Cutlet (baked),140,3,15,"Spicy, Bitter",15 M,"Mix boiled and mashed vegetables (carrot, beans, cabbage, potato, oats) with spices and breadcrumbs. Shape into patties, bake or shallow fry until golden, and serve hot.","Baked version is low-fat, fiber-rich, heart-friendly.",1,"Carrot, Beans, Cabbage, Potato, Oats, Coconut Oil",2
Chana Chaat,150,3.5,18,"Astringent, Bitter",20 M,"Mix boiled chickpeas with chopped onions, tomatoes, cucumber, Lemon, and coriander leaves. Toss well and serve chilled.","Chickpeas high in fiber, reduce LDL cholesterol.",3,"Chana, Cucumber, Tomato, Lemon, Coriander Leaves",2
Sprouts Chaat,160,3,20,"Bitter, Spicy",20 M,"Boil sprouts until tender. Mix with chopped carrot, tomato, Lemon, and coriander leaves. Toss well and serve chilled.","Protein and fiber-rich, supports healthy cholesterol.",1.5,"Sprouts, Carrot, Tomato, Lemon, Coriander Leaves",1
Foxtail Millet Khichdi,140,3.5,22,"Bitter, Astringent",20 M,"Cook foxtail millet and moong dal together until soft. Heat coconut oil, sauté carrot and beans with turmeric powder, mix with the millet and dal, and serve warm.","High in fiber, reduces cholesterol absorption.",2.5,"Foxtail Millet, Moong Dal, Carrot, Beans, Coconut Oil, Turmeric Powder",1
Kodo Millet Upma,130,3,24,"Bitter, Astringent",15 M,"Roast kodo millet lightly. Boil water, add carrot and beans, season with coconut oil and turmeric powder, cook the millet until soft, and serve hot.","Fiber-rich, low-fat, promotes heart health.",3,"Kodo Millet, Carrot, Beans, Coconut Oil, Turmeric Powder",1
Little Millet Pongal,120,3.5,28,"Spicy, Bitter",15 M,"Cook little millet with moong dal until soft. Heat coconut oil, sauté curry leaves and turmeric powder, mix with the millet and dal, and serve hot.","Soluble fiber-rich, helps reduce LDL cholesterol.",3,"Little Millet, Moong Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Steamed Sweet Pumpkin,100,3,30,"Astringent, Bitter",15 M,"Peel pumpkin, cut into cubes, and steam until soft. Mash lightly, season with coconut oil, mustard seeds, and curry leaves, and serve warm.","Low-calorie, fiber-rich, supports heart health.",0.5,"Pumpkin, Coconut Oil, Mustard Seeds, Curry Leaves",1
Bottle Gourd and Moong Dal Tikki,120,3.5,32,"Spicy, Astringent",15 M,"Mix grated bottle gourd (Bottle Gourd) with soaked moong dal. Add turmeric powder, curry leaves, and coconut oil, shape into small tikkis, steam or shallow fry until cooked, and serve warm.","High in soluble fiber and protein, low-fat, helps reduce LDL cholesterol and supports heart health.",2,"Bottle Gourd, Moong Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Amaranth Roti,180,3,35,"Bitter, Astringent",15 M,"Mix amaranth flour with water and salt. Knead into a soft dough, roll into flat rotis, cook on a hot griddle until lightly browned, and serve hot.","High in fiber and plant protein, helps maintain healthy cholesterol levels and supports heart health.",1.5,Amaranth Flour,1
Amaranth Porridge,160,3.5,25,"Bitter, Astringent",20 M,"Boil water or milk. Gradually add amaranth flour while stirring. Cook on low flame until thickened. Add jaggery or salt as needed, and serve warm.","Soluble fiber-rich, aids in lowering LDL (bad) cholesterol and supports cardiovascular health.",1.5,"Amaranth Flour,  Milk",2
Bajra Khichdi,170,3,28,"Bitter, Astringent",15 M,"Wash bajra and moong dal, soak 30 min. Cook together with water until soft. Add coconut oil, curry leaves, turmeric powder, and chopped vegetables. Simmer 5–10 min and serve hot.","Whole grain and fiber-rich, helps reduce cholesterol absorption and promotes heart health.",2,"Bajra, Moong Dal, Coconut Oil, Curry Leaves, Turmeric Powder",2
Jowar Khichdi,120,3.5,30,"Spicy, Bitter",15 M,"Wash jowar and moong dal, soak 30 min. Cook with water until soft. Add chopped vegetables, coconut oil, curry leaves, and turmeric powder. Simmer 5–10 min and serve hot.","High in fiber, low in fat, supports healthy lipid levels and aids digestion.",2,"Jowar, Moong Dal, Coconut Oil, Curry Leaves, Turmeric Powder",2
Ragi Khichdi,130,3,20,"Spicy, Bitter",20 M,"Wash ragi and moong dal, soak 30 min. Cook with water until soft. Add mild spices, chopped vegetables, coconut oil, curry leaves, and turmeric powder, and serve warm.","Soluble fiber-rich, helps lower LDL cholesterol and maintains heart health.",2,"Ragi, Moong Dal, Coconut Oil, Curry Leaves, Turmeric Powder",2
Vegetable Khichdi (brown rice),140,3.5,18,"Bitter, Astringent",15 M,"Cook brown rice and moong dal until soft. Add carrot, beans, coconut oil, salt, and mild spices. Simmer 5–10 min and serve hot.","Brown rice and vegetable-based, high in fiber, reduces cholesterol absorption.",3,"Brown Rice, Moong Dal, Carrot, Beans, Coconut Oil",1
Moong Dal Soup,150,3,15,"Bitter, Astringent",20 M,"Soak moong dal 30 min and boil until soft. Heat coconut oil, add cumin seeds, curry leaves, turmeric powder, and garlic. Mix with dal, simmer 5 min, and serve warm.","Protein and fiber-rich, helps reduce LDL cholesterol and supports heart health.",1,"Moong Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Masoor Dal Soup,100,3.5,12,"Bitter, Astringent",20 M,"Cook masoor dal until soft. Heat coconut oil, sauté cumin seeds, curry leaves, turmeric powder, and garlic. Mix with dal, simmer 5 min, and serve hot.","Red lentils provide fiber and protein, helping to maintain healthy cholesterol.",1,"Masoor Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Toor Dal Soup,120,3,15,"Spicy, Astringent",20 M,"Cook toor dal until soft. Prepare tempering with coconut oil, cumin seeds, garlic, and chili. Add to dal, simmer, and serve warm.","Protein and fiber-rich, aids in lowering LDL cholesterol and supports heart health.",1,"Toor Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Chana Dal Soup,130,3.5,18,"Spicy, Bitter",20 M,"Soak chana dal 30 min. Cook until soft. Heat coconut oil, add curry leaves, turmeric powder, and mild spices. Mix with dal and serve hot.","High in soluble fiber and protein, helps reduce bad cholesterol and maintain heart health.",1,"Chana Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Vegetable Dal Soup,120,3,20,"Spicy, Astringent",25 M,"Cook toor dal, moong dal, and masoor dal until soft. Heat coconut oil, sauté garlic, cumin seeds, and mild spices. Add to dal, simmer 5 min, and serve warm.","Fiber-rich, low-fat, supports healthy cholesterol and overall heart health.",1,"Toor Dal  Moong Dal  Masoor Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Palak Dal Soup,140,3.5,25,"Bitter, Astringent",25 M,"Wash and chop spinach. Boil with moong dal, coconut oil, curry leaves, and mild spices until cooked. Blend lightly if needed, and serve warm.","Spinach and lentil-based, antioxidant and fiber-rich, helps reduce LDL cholesterol.",1,"Spinach, Moong Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Methi Dal Soup,160,3,30,"Bitter, Astringent",25 M,"Wash methi leaves and moong dal. Boil together until soft. Add coconut oil, curry leaves, turmeric powder, and mild spices. Serve hot.","Fenugreek and lentil-based, soluble fiber-rich, supports healthy cholesterol levels.",1,"Methi Leaves, Moong Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Bottle Gourd Dal,130,3.5,28,"Bitter, Astringent",25 M,"Peel and chop Bottle Gourd. Cook with moong dal, coconut oil, curry leaves, and turmeric powder until soft. Serve warm.","Bottle gourd and lentil-based, low-fat and high in fiber, supports heart health.",1,"Bottle Gourd, Moong Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Ridge Gourd Dal,120,3,25,"Bitter, Astringent",25 M,"Peel and chop Ridge Gourd. Boil with moong dal, coconut oil, curry leaves, and mild spices until soft. Serve hot.","Zucchini (Ridge Gourd) and lentil-based, high in fiber, aids in lowering LDL cholesterol.",1,"Ridge Gourd, Moong Dal, Coconut Oil, Curry Leaves, Turmeric Powder",1
Bitter Gourd Curry,150,3.5,30,"Bitter, Spicy",25 M,"Chop Bitter Gourd, sauté with coconut oil, mustard seeds, curry leaves, and spices. Cook until soft and serve warm.","Bitter gourd is rich in soluble fiber, helps reduce LDL cholesterol and supports heart health.",4,"Bitter Gourd, Coconut Oil, Mustard Seeds, Curry Leaves",1
Bhindi Masala,120,3,32,"Bitter, Spicy",15 M,"Wash and chop bhindi. Sauté with coconut oil, mustard seeds, curry leaves, onions, and spices. Cook until tender and serve hot.","Okra (Bhindi) is high in soluble fiber, aids in cholesterol management.",3,"Bhindi, Coconut Oil, Mustard Seeds, Curry Leaves",2
Bottle Gourd Curry,100,3.5,20,"Bitter, Astringent",15 M,"Peel and chop Bottle Gourd. Cook with coconut oil, mustard seeds, curry leaves, and mild spices until soft. Serve warm.","Bottle gourd-based curry, low in fat and fiber-rich, helps maintain healthy cholesterol.",2,"Bottle Gourd, Coconut Oil, Mustard Seeds, Curry Leaves",2
Pumpkin Curry,110,3,22,"Bitter, Astringent",15 M,"Peel and chop pumpkin into cubes. Boil or steam until tender. Add coconut oil, mustard seeds, curry leaves, and mild spices. Simmer 5–10 min and serve warm.","Pumpkin is fiber-rich, low in saturated fat, and supports reduction of LDL cholesterol.",2,"Pumpkin, Coconut Oil, Mustard Seeds, Curry Leaves",2
Bottle Gourd Soup,130,3.5,25,"Bitter, Astringent",15 M,"Peel bottle gourd, chop into pieces. Boil until soft. Blend lightly, add carrot, beans, coconut oil, curry leaves, and mild seasoning. Serve warm.","Low-calorie, high-fiber, antioxidant-rich bottle gourd soup supports heart health and lowers bad cholesterol.",1,"Bottle Gourd, Carrot, Beans, Coconut Oil, Curry Leaves",1
Pumpkin Soup,140,3,28,"Bitter, Astringent",15 M,"Peel and chop pumpkin into cubes. Boil until soft. Blend lightly, add carrot, beans, coconut oil, curry leaves, and spices. Serve warm.","Beta-carotene and fiber-rich, low in saturated fat, supports heart health and helps reduce LDL cholesterol.",1,"Pumpkin, Carrot, Beans, Coconut Oil, Curry Leaves",1
Carrot Raita,150,3.5,30,"Astringent, Sour",10 M,"Peel and grate carrots. Mix with yogurt, salt, and mild spices. Serve chilled.","Beta-carotene and fiber-rich, probiotic yogurt aids digestion and supports cholesterol management.",1,"Carrot, Yogurt",1
Cucumber Raita,130,3,25,"Astringent, Sour",10 M,"Peel and chop cucumber. Mix with yogurt, salt, and cumin powder. Serve chilled.","Hydrating, low-fat, supports healthy cholesterol and digestion.",1,"Cucumber, Yogurt",1
Spinach Raita,90,3.5,22,"Bitter, Astringent",10 M,"Wash and chop spinach. Boil lightly. Mix with yogurt, salt, and mild spices. Serve chilled.","Antioxidant and fiber-rich, helps reduce LDL cholesterol and supports heart health.",1,"Spinach, Yogurt",1
Beetroot Raita,100,3,20,"Bitter, Astringent",10 M,"Peel and grate beetroot. Mix with yogurt, salt, and spices. Serve chilled.","Nitrate and fiber-rich, supports heart health and lowers bad cholesterol.",1,"Beetroot, Yogurt",1
Moong Dal Sundal,120,3.5,18,"Astringent, Bitter",15 M,"Boil moong dal until soft. Add grated coconut, coconut oil, curry leaves, mustard seeds, salt, and mild spices. Mix well and serve warm.","Protein and fiber-rich, helps reduce LDL cholesterol and supports heart health.",1,"Moong Dal, Coconut Oil, Curry Leaves, Mustard Seeds",1
Chickpea Sundal,130,3,16,"Astringent, Bitter",15 M,"Boil chickpeas until tender. Add grated coconut, green chilies, curry leaves, coconut oil, and salt. Mix and serve warm.","High in soluble fiber and protein, supports healthy cholesterol levels.",1,"Chickpea, Coconut Oil, Curry Leaves, Mustard Seeds",1
Horse Gram Sundal,80,3.5,14,"Astringent, Bitter",20 M,"Boil horse gram until soft. Add grated coconut, coconut oil, curry leaves, mild spices, and salt. Serve warm.","Protein and fiber-rich, aids in lowering LDL cholesterol and supports heart health.",1,"Horse Gram, Coconut Oil, Curry Leaves, Mustard Seeds",1
Lentil Sundal,110,3,12,"Astringent, Bitter",20 M,"Boil lentils until soft. Add grated coconut, curry leaves, coconut oil, and salt. Mix and serve warm.","Soluble fiber and protein-rich, supports heart and cholesterol health.",1,"Lentil, Coconut Oil, Curry Leaves, Mustard Seeds",1
Green Gram Salad,100,3.5,10,"Astringent, Bitter",10 M,"Boil green gram until soft. Mix with carrot, cucumber, Lemon, onions, tomatoes, and coriander leaves. Serve warm or chilled.","High in fiber and protein, helps maintain healthy cholesterol.",1,"Green Gram, Carrot, Cucumber, Lemon, Coriander Leaves",1
Chickpea Salad,50,5,15,"Astringent, Bitter",10 M,"Boil chickpeas. Mix with onions, tomatoes, Lemon, and coriander leaves. Serve chilled.","Soluble fiber-rich, reduces LDL cholesterol, supports heart health.",1,"Chickpea, Tomato, Onion, Lemon, Coriander Leaves",1
Moong Sprout Salad,45,4.5,18,"Bitter, Astringent",10 M,"Boil moong sprouts lightly. Mix with chopped carrot, tomato, Lemon, coriander leaves, and mild spices. Serve chilled.","Protein and fiber-rich, helps lower bad cholesterol.",1,"Moong Sprouts, Carrot, Tomato, Lemon, Coriander Leaves",1
Mixed Sprout Salad,60,4.5,20,"Bitter, Astringent",10 M,"Boil green gram, black gram, and chickpeas until soft. Mix with moong sprouts, chopped carrot, cucumber, Lemon, coriander leaves, and spices. Serve chilled.","Fiber and protein-rich, supports healthy cholesterol levels.",1,"Green Gram Sprouts, Moong Sprouts, Carrot, Cucumber, Lemon, Coriander Leaves",1
Carrot Salad,120,1,22,"Bitter, Astringent",10 M,"Peel and chop carrots. Mix with Lemon, salt, coriander leaves, and mild seasoning. Serve fresh.","Beta-carotene and fiber-rich, antioxidant benefits support heart health.",1,"Carrot, Lemon, Coriander Leaves",1
